YearTestDraft,Year,Country Name,Indicator Name,Value
5/1/2018,2018-05-1,BG,Revenue,7.89
5/1/2018,2018-05-1,DE,Revenue,6.34
5/1/2018,2018-05-1,TR,Revenue,15.99
5/1/2018,2018-05-1,BY,Revenue,3.93
5/1/2018,2018-05-1,US,Revenue,16.93
5/1/2018,2018-05-1,AR,Revenue,30.17
5/1/2018,2018-05-1,ES,Revenue,3.12
5/1/2018,2018-05-1,OM,Revenue,95.04
5/1/2018,2018-05-1,IN,Revenue,95.04
5/1/2018,2018-05-1,RU,Revenue,32.40
5/1/2018,2018-05-1,SG,Revenue,19.01
5/1/2018,2018-05-1,BG,Deposits,1.00
5/1/2018,2018-05-1,DE,Deposits,2.00
5/1/2018,2018-05-1,TR,Deposits,1.00
5/1/2018,2018-05-1,BY,Deposits,2.00
5/1/2018,2018-05-1,US,Deposits,2.00
5/1/2018,2018-05-1,AR,Deposits,3.00
5/1/2018,2018-05-1,ES,Deposits,1.00
5/1/2018,2018-05-1,OM,Deposits,1.00
5/1/2018,2018-05-1,IN,Deposits,1.00
5/1/2018,2018-05-1,RU,Deposits,15.00
5/1/2018,2018-05-1,SG,Deposits,1.00
5/1/2018,2018-05-1,BG,ARPPU,7.89
5/1/2018,2018-05-1,DE,ARPPU,6.34
5/1/2018,2018-05-1,TR,ARPPU,15.99
5/1/2018,2018-05-1,BY,ARPPU,3.93
5/1/2018,2018-05-1,US,ARPPU,16.93
5/1/2018,2018-05-1,AR,ARPPU,15.08
5/1/2018,2018-05-1,ES,ARPPU,3.12
5/1/2018,2018-05-1,OM,ARPPU,95.04
5/1/2018,2018-05-1,IN,ARPPU,95.04
5/1/2018,2018-05-1,RU,ARPPU,3.24
5/1/2018,2018-05-1,SG,ARPPU,19.01
5/1/2018,2018-05-1,BG,Depositors,1.00
5/1/2018,2018-05-1,DE,Depositors,1.00
5/1/2018,2018-05-1,TR,Depositors,1.00
5/1/2018,2018-05-1,BY,Depositors,1.00
5/1/2018,2018-05-1,US,Depositors,1.00
5/1/2018,2018-05-1,AR,Depositors,2.00
